,Permit..,Issued.Date,Applied,Approved,Permit.Type,Permit.Sub.Type,Address,Description,Contractor.Name,RECORDID
32,BLDG23-1369,07/07/2023,3/25/2023, 7/6/2023,COMMERCIAL,TENANT FINISH,8991 HARLAN ST #A,TF for Rodeo Music Hall,JD PLUMBING AND CONSTRUCTION I...,EPRS:230325063705390
78,BLDG23-3176,07/06/2023,7/6/2023 ,7/6/2023,COMMERCIAL,SEWER REPAIR,8290 FEDERAL BLVD BLDG 8,South side of office replace s...,META CONTRACTOR INC,ECON:230706035351601
31,BLDG23-1365,07/05/2023,3/24/2023, 6/19/2023,COMMERCIAL,BUILDING,9440 SHERIDAN BLVD,Landlord Improvements to exist...,MAXWELL BUILDERS INC,ECON:230324015911003
61,BLDG23-2302,07/05/2023,5/15/2023, 6/29/2023,COMMERCIAL,BUILDING,9360 SHERIDAN BLVD,TF for Sierra Trading Post +Ne...,MAXWELL BUILDERS INC,ECON:230515050720561
18,BLDG23-0682,06/29/2023,2/14/2023, 6/20/2023,COMMERCIAL,BUILDING,9390 SHERIDAN BLVD,Downsized FedEx Office tenant ...,WARWICK CONSTRUCTION INC,EPRS:230214040945293
75,BLDG23-2900,06/26/2023,6/20/2023, 6/20/2023,COMMERCIAL,WATER REPAIR,3949 W 72ND AVE,"8' spot on 3/4"" water service ...",DIG BOSS LLC,ECON:230620122125684
45,BLDG23-1803,06/15/2023,4/20/2023, 6/2/2023,COMMERCIAL,BUILDING,11860 PECOS ST,Adams County Remodel Human Ser...,BARBA & SONS CONSTRUCTION INC,EPRS:230420030932719
46,BLDG23-1804,06/15/2023,4/20/2023, 7/19/2023,COMMERCIAL,TENANT FINISH,3013 W 104TH AVE #300,TF for VIvo Infusion - to add ...,QUINLAN CONSTRUCTION INC,ECON:230420041052021
72,BLDG23-2718,06/09/2023,6/8/2023 ,6/8/2023,COMMERCIAL,WATER REPAIR,8909 FIELD ST,Installing 1 RPZ backflows,DIG BOSS LLC,ECON:230608041128525
73,BLDG23-2733,06/09/2023,6/9/2023 ,6/9/2023,COMMERCIAL,WATER REPAIR,8995 FIELD ST,Installing 1 RPZ backflow on s...,DIG BOSS LLC,ECON:230609092824912
41,BLDG23-1771,06/07/2023,4/19/2023, ,COMMERCIAL,BUILDING,2171 W 128TH AVE,McDonald's remodel of front se...,EPIC CONSTRUCTION INC,EPRS:230419055928087
40,BLDG23-1684,06/06/2023,4/12/2023, ,COMMERCIAL,TENANT FINISH,7508 SHERIDAN BLVD,TF for Community Medical Servi...,PMG COLORADO LLC,EPRS:230412113959515
27,BLDG23-1034,06/05/2023,3/8/2023 ,6/5/2023,COMMERCIAL,TENANT FINISH,5740 W 89TH AVE,Pet Vet 365 - 5740 W.89th Ave ...,WESTMORELAND BUILDERS,EPRS:230308125037772
10,BLDG23-0306,06/01/2023,1/20/2023, 5/9/2023,COMMERCIAL,TENANT FINISH,5815 W 89TH AVE #102,TF for Vato's Tacos and Tequil...,HIVE CONSTRUCTION INC,ECON:230120093541380
44,BLDG23-1790,06/01/2023,4/19/2023, 6/1/2023,COMMERCIAL,BUILDING,5005 W 72ND AVE #200,Interior tenant alteration for...,SOUTHWESTERN SERVICES,EPRS:230419044312626
69,BLDG23-2588,06/01/2023,5/31/2023, 6/1/2023,COMMERCIAL,WATER REPAIR,7301 SHERIDAN BLVD,5' long repair on meter pit 5'...,THE ELITE PIPE MD,ECON:230531050716230
65,BLDG23-2403,05/26/2023,5/22/2023, 5/25/2023,COMMERCIAL,DEMOLITION,12195 MARIPOSA ST,Demo to prep for TF for Goldst...,QUINLAN CONSTRUCTION INC,EPRS:230522010818523
35,BLDG23-1580,05/24/2023,4/5/2023 ,5/16/2023,COMMERCIAL,TENANT FINISH,10168 WADSWORTH PKWY #100,TF for Salon Venecia event cen...,RIZE CONSTRUCTION LLC,EPRS:230405021413216
66,BLDG23-2438,05/23/2023,5/23/2023, 5/23/2023,COMMERCIAL,WATER REPAIR,2929 W 104TH AVE,Replace curb stop and cover va...,BEFORT CONSTRUCTION INC.,ECON:230523010412002
5,BLDG23-0108,05/17/2023,1/9/2023 ,5/17/2023,COMMERCIAL,TENANT FINISH,8765 WADSWORTH BLVD,Snarf's Sandwich Shop in Exist...,MILO CONSTRUCTION CORPORATION,EPRS:230109095644395
47,BLDG23-1810,05/15/2023,4/21/2023, 5/15/2023,COMMERCIAL,TENANT FINISH,5160 W 120TH AVE #G,TF Home Team Deli,BRENT WEINGARDT,ECON:230421082324013
56,BLDG23-2201,05/15/2023,5/10/2023, ,COMMERCIAL,FIRE LINE REPAIR,7860 W 87TH DR BLDG 3,Replacement of Fire Hydrant,STONE AND CONCRETE INC,ECON:230510091239557
