,Permit..,Issued.Date,Applied,Approval,Permit.Type,Permit.Sub.Type,Address,Description,Contractor.Name,RECORDID
3275,BLDG22-3293,07/20/2022,5/19/2022,7/20/2022,COMMERCIAL,TENANT FINISH,8510 BRYANT ST 340,TF for Thriveworks,LIGHTHOUSE CDS LLC,ECON:220519015223305
3278,BLDG22-3296,07/20/2022,5/19/2022,6/27/2022,COMMERCIAL,TENANT FINISH,14375 ORCHARD PKWY #400,TF for The Joint Chiropractor.,KTK GENERAL CONTRACTING LIMITE...,EPRS:220519021645693
3315,BLDG22-3333,08/23/2023,5/23/2022,4/5/2023,COMMERCIAL,TENANT FINISH,14300 ORCHARD PKWY,St. Anthony North - Patient To...,MA MORTENSON COMPANY,ECON:220523093105911
3459,BLDG22-3477,07/20/2022,5/26/2022,7/6/2022,COMMERCIAL,TENANT FINISH,12030 MELODY DR,TF for Cherry Blossom Dental,DENTAL SOLUTIONS,ECON:220526032952803
3521,BLDG22-3539,06/16/2023,5/31/2022,9/12/2022,COMMERCIAL,TENANT FINISH,11751 HURON ST 600,TF for Claremont foods warehou...,ALCORN CONSTRUCTION INC,ECON:220531031302198
3649,BLDG22-3667,07/07/2022,6/6/2022,7/6/2022,COMMERCIAL,TENANT FINISH,11035 DOVER ST 1100,TF for Phase One,"St. John Properties, Inc",ECON:220606044716790
3655,BLDG22-3673,07/22/2022,6/7/2022,7/22/2022,COMMERCIAL,TENANT FINISH,9140 W 100TH AVE #A1,TF for Angels adult day care f...,DAYENU DEVELOPMENT dba JUSLEE ...,EPRS:220607082140787
3677,BLDG22-3695,07/26/2022,6/7/2022,7/26/2022,COMMERCIAL,TENANT FINISH,6030 W 92ND AVE #300,TF for Kuluka Restaurant,SHIKE DESIGN,EPRS:220607021932654
3792,BLDG22-3810,09/12/2022,6/13/2022,9/7/2022,COMMERCIAL,TENANT FINISH,5654 W 88TH AVE,TF for Artistic Fusion Dance A...,CREEKSIDE DEVELOPMENT,EPRS:220613111736209
3811,BLDG22-3829,,6/13/2022,,COMMERCIAL,BUILDING,7155 SHERIDAN BLVD,Walmart Remodel-Remove interio...,,ECON:220613034903760
3812,BLDG22-3830,,6/13/2022,,COMMERCIAL,TENANT FINISH,200 W 136TH AVE,Walmart Remodel-Remove interio...,LK ARCHITECTURE,ECON:220613040239021
3814,BLDG22-3832,07/20/2022,6/13/2022,7/20/2022,COMMERCIAL,TENANT FINISH,14697 DELAWARE ST 240,TF for Edward Jones,MPB CONTRACTORS INC,ECON:220613052433285
3819,BLDG22-3837,06/21/2022,6/14/2022,6/14/2022,COMMERCIAL,SEWER REPAIR,7300 LOWELL BLVD BLDG FIELD,In Yard Sewer Line Repair,STONE AND CONCRETE,ECON:220614091530514
3962,BLDG22-3980,03/04/2023,6/20/2022,7/27/2022,COMMERCIAL,BUILDING,12200 PECOS ST,Remodel of Drivers license off...,BARBA & SONS CONSTRUCTION INC,ECON:220620013450887
3999,BLDG22-4017,10/04/2022,6/21/2022,10/4/2022,COMMERCIAL,TENANT FINISH,9050 W 88TH AVE,Misc repairs/ Occupancy permit...,,EPRS:220621015621338
4005,BLDG22-4022,10/19/2022,6/22/2022,10/19/2022,COMMERCIAL,TENANT FINISH,8414 FEDERAL BLVD,TF for Hype Tea shop,DV CONSTRUCTION LLC,ECON:220622075736731
4069,BLDG22-4086,07/27/2022,6/24/2022,7/19/2022,COMMERCIAL,BUILDING,10955 WESTMOOR DR BLDG 7,Remodel of an existing Ball Ze...,JORDY CONSTRUCTION,ECON:220624043643836
4085,BLDG22-4102,08/16/2022,6/27/2022,8/16/2022,COMMERCIAL,TENANT FINISH,11400 WESTMOOR CIR #220,TF for Engie - Business Office...,Tenant Improvement Constructio...,ECON:220627110446735
4094,BLDG22-4111,09/09/2022,6/27/2022,9/9/2022,COMMERCIAL,TENANT FINISH,11000 WESTMOOR CIR #180,TF for Graduate School of Bank...,Tenant Improvement Constructio...,ECON:220627021532378
4155,BLDG22-4172,07/11/2022,6/30/2022,7/7/2022,COMMERCIAL,SEWER REPAIR,11590 PECOS ST #A,Adding cleanouts to building A...,MASTER ROOTER PLUMBING LLC,ECON:220630085004268
4156,BLDG22-4173,07/07/2022,6/30/2022,7/7/2022,COMMERCIAL,SEWER REPAIR,11590 PECOS ST #C,Adding cleanouts to building C...,MASTER ROOTER PLUMBING LLC,ECON:220630085144308
4157,BLDG22-4174,07/07/2022,6/30/2022,7/7/2022,COMMERCIAL,SEWER REPAIR,11590 PECOS ST #D,Adding cleanouts to building D...,MASTER ROOTER PLUMBING LLC,ECON:220630085301337
4158,BLDG22-4175,07/07/2022,6/30/2022,7/7/2022,COMMERCIAL,SEWER REPAIR,1585 W 115TH AVE #F,Adding cleanouts to building F...,MASTER ROOTER PLUMBING LLC,ECON:220630085456375
4160,BLDG22-4177,07/07/2022,6/30/2022,7/7/2022,COMMERCIAL,SEWER REPAIR,1585 W 115TH AVE #G,Adding cleanouts to building G...,MASTER ROOTER PLUMBING LLC,ECON:220630091649781
4184,BLDG22-4201,10/28/2022,7/1/2022,10/28/2022,COMMERCIAL,BUILDING,14584 ORCHARD PKWY #300,remodel of vanilla shell for f...,MAXWELL BUILDERS INC,EPRS:220701082030959
4195,BLDG22-4212,,7/1/2022,,COMMERCIAL,TENANT FINISH,9975 WADSWORTH PKWY E1,"Installing pegboard on walls, ...",,MSCA:220701123631754
4330,BLDG22-4347,,7/8/2022,,COMMERCIAL,SEWER REPAIR,,repair sewer in private lot,,MSCA:220708083215301
4331,BLDG22-4348,07/14/2022,7/8/2022,7/8/2022,COMMERCIAL,SEWER REPAIR,9400 WADSWORTH PKWY,sewer repair private lot 5' re...,APEX PLUMBING,MSCA:220708083341326
4350,BLDG22-4367,09/09/2022,7/8/2022,9/8/2022,COMMERCIAL,TENANT FINISH,14697 DELAWARE ST 1000,TF for Volcano Ramen + equipme...,WEIQIANG TIAN,ECON:220708031854890
4353,BLDG22-4370,09/07/2022,7/9/2022,7/27/2022,COMMERCIAL,TENANT FINISH,9975 WADSWORTH PKWY M4,Rock Pocketz pool hall bar and...,"ROCK POCKETZ, LLC dba WRECK RO...",ECON:220709121521543
4463,BLDG22-4480,,7/13/2022,,COMMERCIAL,TENANT FINISH,1150 W 120TH AVE #100,TF for Playcore office and pro...,TURN KEY GENERAL CONTRACTORS I...,ECON:220713082134393
4466,BLDG22-4483,,7/13/2022,,COMMERCIAL,TENANT FINISH,8020 SHERIDAN BLVD,TF for COTTAGE MASSAGE,"ZIONE ARCHITECTURAL GROUP, INC",ECON:220713092625350
4499,BLDG22-4516,,7/14/2022,,COMMERCIAL,TENANT FINISH,,TF for Rep Fitness,,MSCA:220714074930491
4540,BLDG22-4557,,7/15/2022,,COMMERCIAL,FIRELINE REPAIR,3031 W 74TH AVE,Repairing existing fire line o...,R NICHOLS CIVIL CONTRACTORS LL...,ECON:220715011817835
4591,BLDG22-4609,,7/19/2022,,COMMERCIAL,ELECTRICAL,13095 PECOS ST,Repair any electrical damaged ...,Joshua Purcell,EPRS:220719111057053
4601,BLDG22-4619,08/22/2022,7/19/2022,8/22/2022,COMMERCIAL,TENANT FINISH,680 W 121ST AVE #110,TF for Amerita,RAINE BUILDING LLC,ECON:220719064810979
4628,BLDG22-4646,10/14/2022,7/21/2022,8/1/2022,COMMERCIAL,BUILDING,4860 W 120TH AVE,Interior remodel of existing W...,WESTEC CONSTRUCTION MANAGEMENT...,ECON:220721082242152
4729,BLDG22-4749,09/15/2022,7/26/2022,9/15/2022,COMMERCIAL,TENANT FINISH,3695 W 72ND AVE,Coffee Shop and Roastery,GLASS ARROW WORKSHOP LLC,ECON:220726085550639
4813,BLDG22-4833,09/08/2022,7/28/2022,9/8/2022,COMMERCIAL,TENANT FINISH,11230 BENTON ST,Clinic renovation at an existi...,VERTIX BUILDERS INC,EPRS:220728095323526
4815,BLDG22-4835,06/16/2023,7/28/2022,12/13/2022,COMMERCIAL,BUILDING,7237 CHURCH RANCH BLVD #406,Demising existing tenant space...,GOLDEN SANDS GENERAL CONTRACTO...,EPRS:220728103116268
4818,BLDG22-4838,,7/28/2022,,COMMERCIAL,TENANT FINISH,8161 W 94TH AVE,TF Salsa express additional ba...,JOSE,ECON:220728120023305
4840,BLDG22-4860,09/14/2022,7/29/2022,9/12/2022,COMMERCIAL,TENANT FINISH,11080 CIRCLE POINT RD #220,TF for Coffman Engineering ste...,Ponderosa Construction Inc,ECON:220729115758412
4876,BLDG22-4896,08/02/2022,8/1/2022,8/2/2022,COMMERCIAL,WATER REPAIR,7701 W 92ND AVE,Installing a water line to the...,AFFORD A ROOTER,ECON:220801033030795
5027,BLDG22-5046,10/04/2022,8/6/2022,10/3/2022,COMMERCIAL,TENANT FINISH,14644 ORCHARD PKWY #1200,"Yukon Ax walls for office, bat...","BASEMENTS AND DECKS R US, LLC",ECON:220806085855029
5050,BLDG22-5069,10/20/2022,8/8/2022,10/20/2022,COMMERCIAL,TENANT FINISH,7237 CHURCH RANCH BLVD #406,TF for Motorola  Ste 406,GOLDEN SANDS GENERAL CONTRACTO...,EPRS:220808023554619
5092,BLDG22-5111,09/14/2022,8/10/2022,9/14/2022,COMMERCIAL,TENANT FINISH,11080 CIRCLE POINT RD #300,TF for DME Forensics,Ponderosa Construction Inc,ECON:220810073515309
5145,BLDG22-5164,09/16/2022,8/11/2022,9/16/2022,COMMERCIAL,TENANT FINISH,7403 CHURCH RANCH BLVD #100,TF for Offen Petroleum suite 1...,COMMERCIAL BUILDING SERVICES,ECON:220811073947793
5187,BLDG22-5206,11/09/2022,8/15/2022,11/7/2022,COMMERCIAL,TENANT FINISH,11300 WESTMOOR CIR BLDG 9,Remodel for CACI Level 3,PATNER CONSTRUCTION INC,ECON:220815111305916
5223,BLDG22-5242,11/07/2022,8/16/2022,11/7/2022,COMMERCIAL,TENANT FINISH,11059 DOVER ST #100,TF for Cerapedics Suite 100 - ...,BOOTS CONSTRUCTION COMPANY,EPRS:220816123718829
5263,BLDG22-5282,,8/17/2022,,COMMERCIAL,ELECTRICAL,6400 W 92ND AVE,Optical Renovation,MG2,ECON:220817093510053
5267,BLDG22-5286,,8/17/2022,,COMMERCIAL,TENANT FINISH,14190 ORCHARD PKWY #120,Access control in tenant space...,Jeffrey Hauet,EPRS:220817105403461
5268,BLDG22-5287,,8/17/2022,,COMMERCIAL,TENANT FINISH,14190 ORCHARD PKWY #200,Access control in tenant space...,Jeffrey Hauet,EPRS:220817110152649
5275,BLDG22-5294,,8/17/2022,,COMMERCIAL,TENANT FINISH,14190 ORCHARD PKWY,Access for Core and Shell,Jeffrey Hauet,EPRS:220817113822441
5277,BLDG22-5296,,8/17/2022,,COMMERCIAL,TENANT FINISH,14190 ORCHARD PKWY #200,Access Control for this tenant...,MOUNTAIN ALARM - FIRE PROTECTI...,EPRS:220817115326134
5281,BLDG22-5300,,8/17/2022,,COMMERCIAL,TENANT FINISH,14190 ORCHARD PKWY #200,Access control in tenant space...,Jeffrey Hauet,EPRS:220817013136992
5282,BLDG22-5301,,8/17/2022,,COMMERCIAL,TENANT FINISH,14190 ORCHARD PKWY,Access Control for this tenant...,Jeffrey Hauet,EPRS:220817013455060
5326,BLDG22-5345,,8/18/2022,,COMMERCIAL,TENANT FINISH,200 W 136TH AVE,Adding new 70amp 208V circuit ...,Justin Collins,EPRS:220818120237598
5375,BLDG22-5394,09/19/2022,8/19/2022,9/19/2022,COMMERCIAL,TENANT FINISH,2831 W 120TH AVE #100,Tiger Sugar Boba Tea,CJ CONSTRUCTION,ECON:220819032416078
5376,BLDG22-5395,10/13/2022,8/19/2022,10/13/2022,COMMERCIAL,TENANT FINISH,10855 DOVER ST #300,CERAPEDICS OFFICE TENANT FINIS...,EGC SERVICES INC,ECON:220819044809256
5427,BLDG22-5446,04/03/2023,8/23/2022,3/27/2023,COMMERCIAL,BUILDING,8901 HARLAN ST,Remodel in existing suite and ...,D & E CONSTRUCTION INC,ECON:220823095144236
5580,BLDG22-5599,,8/30/2022,,COMMERCIAL,TENANT FINISH,9295 FEDERAL BLVD,TF for Lucky Daye Arcade,NCB LLC,ECON:220830113811312
5696,BLDG22-5715,11/08/2022,9/2/2022,11/7/2022,COMMERCIAL,TENANT FINISH,12900 ZUNI ST,TF for Vasa Fitness in previou...,WANER CONSTRUCTION CO INC,EPRS:220902072812045
5726,BLDG22-5745,,9/6/2022,9/22/2022,COMMERCIAL,BUILDING,4650 W 120TH AVE #200,Facade Improvement and Gas Ser...,STEVEN L WILLIAMS CONSTRUCTION,EPRS:220906041843006
5752,BLDG22-5771,09/16/2022,9/7/2022,9/12/2022,COMMERCIAL,BUILDING,9075 W 88TH CIR BLDG 4,Repair footers and mono-posts ...,AGS CONSTRUCTION INC,ECON:220907042931232
5762,BLDG22-5781,10/14/2022,9/8/2022,10/12/2022,COMMERCIAL,BUILDING,12026 MELODY DR,Repair damaged concrete in Per...,AGS CONSTRUCTION INC,ECON:220908084444935
5787,BLDG22-5806,,9/8/2022,9/9/2022,COMMERCIAL,SEWER REPAIR,8300 SHERIDAN BLVD BLDG 18,Cutting and capping a 4 inch s...,DIG BOSS LLC,ECON:220908025018545
5834,BLDG22-5853,10/26/2022,9/9/2022,10/24/2022,COMMERCIAL,TENANT FINISH,10443 TOWN CENTER DR #600,TF for new restaurant Quinto P...,PG ARNOLD CONSTRUCTION,EPRS:220909110950735
5894,BLDG22-5913,03/20/2023,9/12/2022,3/14/2023,COMMERCIAL,BUILDING,6400 W 92ND AVE,Costco - Remodel of kit baking...,ENGINEERED STRUCTURES INC,EPRS:220912034750116
5895,BLDG22-5914,10/24/2022,9/12/2022,10/24/2022,COMMERCIAL,BUILDING,11400 WESTMOOR CIR #210,Vanilla Box for future tenant ...,Tenant Improvement Constructio...,ECON:220912040952384
