Permit Name,Res / Com,Duration,Work Type,Count of Reviews,Occurances of Repeat Reviews,Worst Review,WR Count
2022-119001 PR,Commericial ,183,New,20,6,Building Plans - Electrical,3
2022-119088 PR,Commericial ,40,Remodel,13,2,Commercial Building Plans,2
2022-119100 PR,Residential ,0,Repair,1,0,None,0
2022-119230 PR,Residential ,18,Demolition,3,0,Historic Preservation,1
2022-119237 PR,Commericial ,55,Remodel,15,4,Commercial Building Plans,2
2022-119251 PR,Residential ,84,Addition and Remodel,4,2,Residential Zoning Review,2
2022-119266 PR,Residential ,0,Repair,1,0,None,0
2022-119316 PR,Residential ,28,New,11,4,Tech Master Review,2
2022-119631 PR,Residential ,0,Repair,1,0,None,0
2022-119643 PR,Residential ,0,Repair,1,0,None,0
2022-119703 PR,Residential ,168,New,16,7,Tech Master Review,2
2022-119745 PR,Residential ,11,Demolition,3,0,Historic Preservation,1
2022-119761 PR,Residential ,49,New,7,3,Residential Zoning Review,2
2022-119764 PR,Residential ,11,Demolition,3,0,Historic Preservation,1
2022-119784 PR,Residential ,11,Demolition,3,0,Historic Preservation,1
2022-119812 PR,Residential ,19,Demolition,3,1,Historic Preservation,2
2022-119817 PR,Residential ,41,New,5,0,Residential Zoning Review,1
2022-119845 PR,Residential ,67,New,6,1,Residential Zoning Review,2
2022-119847 PR,Residential ,67,New,16,7,Tech Master Review,2
2022-119854 PR,Residential ,88,Addition and Remodel,19,8,Tech Master Review,4
2022-119896 PR,Residential ,84,New,5,1,Tree Ordinance Review,2
2022-119915 PR,Residential ,11,Repair,2,0,Flood Plain Review,1
2022-119986 PR,Commericial ,13,Remodel,5,2,Commercial Building Plans,2
2022-120035 PR,Residential ,11,Repair,2,0,Flood Plain Review,1
2022-120052 PR,Commericial ,29,Remodel,12,2,Building Plans - Electrical,2
2022-120188 PR,Residential ,11,Demolition,2,0,Historic Preservation,1
2022-120286 PR,Commericial ,25,Remodel,4,0,Commercial Building Plans,1
2022-120327 PR,Residential ,69,New,5,1,Residential Zoning Review,2
2022-120345 PR,Residential ,26,Addition and Remodel,2,0,Residential Zoning Review,1
2022-120396 PR,Residential ,0,Repair,1,0,None,0
2022-120411 PR,Residential ,0,Repair,1,0,None,0
2022-120413 PR,Residential ,3,Repair,2,0,Historic Preservation,1
2022-120424 PR,Residential ,0,Repair,1,0,None,0
2022-120432 PR,Residential ,9,Repair,2,0,Flood Plain Review,1
2022-120435 PR,Residential ,0,Repair,1,0,None,0
2022-120437 PR,Residential ,0,Repair,1,0,None,0
2022-120438 PR,Residential ,0,Repair,1,0,None,0
2022-120443 PR,Residential ,1,Repair,1,0,None,0
2022-120455 PR,Residential ,0,Repair,1,0,None,0
2022-120706 PR,Residential ,42,Addition and Remodel,5,1,Tech Master Review,2
2022-120777 PR,Residential ,8,Demolition,3,0,Historic Preservation,1
2022-120782 PR,Residential ,0,Repair,1,0,None,0
